"id_order","sku"
300889,"PAR0047"
300896,"HTE0002"
300898,"TPL0011"
300903,"WAC0167"
300904,"SAM0067"
300905,"HTE0003"
300906,"STA0027"
300916,"APP1014"
300830,"PEB0009"
300906,"NTE0090"
300918,"PEB0009"
300922,"IFX0028"
300924,"OLL0013"
300929,"PAR0048"
300930,"TWS0087"
300933,"BEA0052"
300938,"WDT0135"
300941,"WIT0028"
300945,"DLK0002"
300947,"PEB0003"
300948,"BEL0264"
300949,"JBL0101"
300950,"PAC0588"
300954,"PAC0776"
300962,"LEE0005"
300966,"NTE0058"
300971,"PAR0048"
300979,"TRK0005"
300980,"LOG0169"
300982,"OWC0190"
300986,"WAC0167"
300979,"NOD0002"
300989,"SAT0007"
300989,"APP1210"
300998,"HTE0001"
300999,"OTR0039"
301012,"WDT0135"
301013,"CRU0026-2"
301015,"SPH0007"
301043,"SAM0089"
301058,"APP0697"
301069,"SPH0002"
301074,"APP1215"
301075,"HTE0003"
300326,"LIF0072"
301080,"ADN0018"
301080,"ADN0037"
301079,"MOS0007"
301085,"SAN0093"
301059,"WDT0221"
301091,"ZAG0016"
301079,"THU0019"
301092,"OWC0054-2"
301094,"LEA0001"
301095,"BEL0264"
286842,"PHI0050"
301097,"APP0431"
301103,"PAR0048"
301105,"CRU0046"
301106,"HTE0004"
301111,"WAC0166"
301108,"PAR0065"
301106,"TRK0003"
301118,"IKM0043"
301129,"PAC1432"
301140,"IFX0049"
301140,"OWC0007"
301140,"IFX0135"
301145,"IFX0016"
301148,"THU0019"
301152,"LOG0169"
301158,"PAC1443"
301162,"BNQ0044"
301166,"BEL0264"
301169,"SAN0110"
301173,"APP1184"
301184,"SPE0134"
301184,"ELG0032"
301181,"IFX0040"
301198,"TRA0010"
301198,"WDT0357"
301198,"XOO0005"
301204,"APP1622"
301204,"APP1215"
301204,"APP1486"
301196,"RAI0013"
301207,"HTE0002"
301208,"SAN0127"
301209,"PAR0047"
301211,"PAC1234"
301214,"CRU0045"
301223,"CRU0046"
301226,"IFX0040"
301236,"TWS0099"
301239,"PHI0057"
301244,"LIF0047"
301243,"OTT0154"
301243,"IOT0018"
301247,"OTT0134"
301252,"SPE0160"
301253,"SAM0099"
296229,"MOS0176"
301261,"MOS0141"
301270,"WDT0177"
296229,"APP1459"
301276,"ELG0033"
301276,"CRU0044"
301280,"CRU0043"
301292,"LOG0185"
301306,"PAC1554"
301308,"OWC0068-A"
301309,"SAN0093"
301318,"LAC0139"
300331,"BEL0292"
301320,"OWC0040-2"
301321,"APP0921"
301322,"APP1184"
301325,"CRU0026-2"
301325,"IFX0006"
301331,"PAC1027"
301334,"HTE0001"
301335,"JAW0042"
301339,"WIT0022"
301344,"NEA0003"
301345,"APP1136"
301344,"PHI0070"
301352,"WDT0135"
301234,"SYN0122"
301234,"WDT0177"
301359,"WAC0084"
301360,"WDT0135"
301365,"PAC0513"
301367,"LMP0001"
301300,"DLL0020"
301300,"STA0010"
301370,"PAC1192"
301371,"JBL0116"
301374,"SAT0033"
301375,"SEA0100"
301376,"NTE0011"
301362,"PAC1584"
301379,"LEX0033"
301380,"PAC1482"
301387,"LOG0142"
301390,"DLL0029-A"
301393,"WAC0164"
301395,"BEL0203"
301396,"LGE0029"
301398,"PAC1622"
301403,"WDT0311-A"
301387,"TWS0040"
301404,"WAC0163"
301395,"LOG0201"
299869,"BEL0175"
301406,"PAC1234"
301408,"OLL0016"
301409,"SAN0127"
301412,"LGE0029"
301414,"PAC1367"
301416,"DLL0028"
301420,"TOS0001"
301422,"FCM0003-2"
301395,"IHE0017"
301433,"LOG0169"
301434,"DLL0014"
301395,"OBL0001"
301440,"BOS0037"
301442,"WIT0022"
301430,"CRU0016-2"
301451,"SAN0127"
301451,"SAN0128"
301452,"LEX0022"
301430,"OWC0007"
301456,"SAN0093"
301457,"BEL0264"
301458,"MUV0148"
301467,"LEX0021"
301469,"ADN0038"
301256,"SAN0128"
301478,"TRN0003"
301480,"CRU0015-2"
301491,"SEA0047"
300671,"SAM0067"
301496,"OTR0039"
301498,"BEL0175"
301499,"IFX0023"
301500,"APP1261"
301501,"PAC1542"
301504,"APP1184"
301509,"NTE0092-A"
301512,"APP0692"
301513,"ELG0033"
301521,"APP1649"
301522,"TRA0035"
301512,"MUV0141"
301247,"ELG0033"
301528,"PAC1394"
301531,"WDT0135"
301533,"TRK0005"
301537,"HTE0004"
301543,"PAC1234"
301544,"KIN0153-2"
301547,"WDT0357"
301548,"DLL0010"
301517,"BEZ0152"
301557,"SAM0067"
301550,"WAC0084"
301562,"SAN0127"
301563,"APP1129"
301566,"HTE0004"
301563,"MOX0009"
