"id_order","brand_cat"
304726,"Belkin accessories"
304726,"ZaggKeys accessories"
304733,"Satechi accessories"
304718,"Satechi accessories"
304718,"Satechi accessories"
304760,"Apple laptop"
304733,"Startech accessories"
304733,"Satechi accessories"
304767,"Apple smartphone"
304767,"Apple laptop"
304788,"Apple accessories"
304781,"Pack pc"
304781,"Apple laptop"
304788,"Belkin accessories"
304781,"Apple laptop"
304810,"Belkin accessories"
304813,"Apple accessories"
304810,"Belkin accessories"
304813,"Apple smartphone"
304810,"Moshi accessories"
304810,"ZaggKeys accessories"
304830,"Twelve South accessories"
304830,"Elgato accessories"
304852,"Pack accessories"
304852,"Western Digital accessories"
304858,"Crucial accessories"
304859,"Philips accessories"
304858,"Otterbox accessories"
304859,"Philips accessories"
304603,"Belkin accessories"
304603,"Belkin accessories"
304603,"Belkin accessories"
304871,"Hitcase accessories"
304875,"Moshi accessories"
304877,"Elgato accessories"
304875,"Moshi accessories"
304887,"Belkin accessories"
304887,"Kanex accessories"
304890,"Philips accessories"
304890,"Philips accessories"
303037,"Philips accessories"
304927,"Kingston accessories"
304927,"Muvit accessories"
304927,"Devolo accessories"
304941,"Apple laptop"
304941,"Be.ez accessories"
304953,"Lexar accessories"
304953,"SanDisk accessories"
304977,"Apple accessories"
304995,"Apple accessories"
304995,"Apple accessories"
304995,"Apple accessories"
304977,"NewerTech accessories"
305020,"STM accessories"
305020,"Moshi accessories"
305040,"Western Digital accessories"
305040,"OWC accessories"
305040,"LaCie accessories"
305056,"Philips accessories"
305056,"Philips accessories"
305067,"Belkin accessories"
305067,"TP-Link accessories"
305126,"NewerTech accessories"
305020,"Satechi accessories"
305128,"Apple smartphone"
305126,"Crucial accessories"
305140,"Logitech accessories"
305140,"Logitech accessories"
305176,"Crucial accessories"
305196,"Belkin accessories"
305198,"Philips accessories"
305198,"Philips accessories"
305196,"Kanex accessories"
305176,"Tucano accessories"
305236,"Apple accessories"
305236,"Apple accessories"
305240,"Apple accessories"
305240,"Apple accessories"
305284,"Muvit accessories"
305287,"Belkin accessories"
305287,"Belkin accessories"
